Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,ZUx - Cycle time,SKx - Closing force,SKs - Clamping force peak value,Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume,quality
106.11,81.473,6.188,2.84,75.61,904.9,921.2,122.6,109.9,145.4,924.8,8.98,18.59,4
105.851,81.193,6.292,3.3,75.76,893.1,912.9,122,109.2,146.6,889.2,8.73,18.84,3
106.44547799139782,81.362,6.864,3.1978682397212697,74.83,878.8438011574481,938.2,120.5,104.9,147,920.2,8.8,18.75,1
106.266,81.431,7.124,3.16,74.81,884.1,900.7,117.8,103.9,145.7,915.8,8.83,18.74,2
105.902,81.402,6.968,3.82,74.83,885.5362469970657,926.3,120.5,88.9,146.7,930.5,8.82,18.72,1
105.449,81.471,6.864,3.1926947498138434,74.81,886.9,896.8,118.4,106.2,146,882.3,8.84,18.73,1
106.157,81.039,6.968,3.13,74.81,921,939.3,115.7,107.6,146.2,916.7,8.88,18.69,2
105.944,81.402,7.228,4.08,74.82,885.2738699140118,919.9,120.5,104.3,145.6,926.5,8.85,18.98,1
106.098,82.028,11.128,2.9,75.65,900,918.6,116,105.1,146.6,894.7,8.88,18.69,4
119.426,82.005,10.972,2.92,75.66,902.7,920.3,117.8,105.3,144.8,898.8,8.88,18.69,4
105.902,81.402,6.864,4.08,74.82,908.6,895.3,120.5,88.9,147,882.3,8.83,18.98,1
106.05,81.389,6.968,3.21,74.79,911.4,925.8,118.1,107.7,146.3,914.1,8.83,18.73,2
106.398,81.312,6.864,3.25,74.82,920.6,938.7,113,102.3,145.9,912.7,8.85,18.72,2
106.332,81.322,6.968,3.23,74.83,907.7,925.6,119.9,104.4,146.3,914.8,8.85,18.72,2
105.804,81.234,6.292,3.29,75.75,889.8,915.6,116.3,107.3,146.1,906.1,8.8,18.76,3
106.132,81.361,7.124,3.16,74.83,908.8,924.7,116,106,145.3,927.6,8.85,18.72,1
105.949,81.261,6.292,3.36,75.73,890.4,908.8,116.9,105.9,145.9,866.4,8.66,18.91,3
106.309,81.397,6.968,3.29,74.81,907.3,925.2,114.8,103.4,146.6,908.5,8.81,18.76,2
106.108,81.212,6.968,3.14,74.83,910.7,926.9,122.9,104.9,146.3,916,8.85,18.71,2
105.449,81.437,6.864,3.22,74.83,884.9158533500513,918.2,120.5,93.1,148.1,920.2,8.68,18.76,1
106.258,81.255,6.968,3.2,74.81,910.7,927.6,120.2,105.5,145.6,914.9,8.83,18.74,2
106.46,81.547,6.968,3.19,74.83,882.8,900.1,115.1,103.6,145.4,926.6,8.83,18.74,2
105.97,81.311,6.292,3.27,75.75,891.3,910.7,122,110.9,146.8,896.1,8.73,18.84,3
106.03,82.067,11.128,2.98,75.64,901.2,917.3,116.6,103.8,146.8,871,8.75,18.82,4
106.234,81.384,7.02,3.26,74.81,907.9,925.8,109.7,102.3,146.7,913.8,8.8,18.77,2
106.27492051392998,81.162,6.864,3.16,74.83,903.1,918.2,127.3,106.55326082847316,148.1,933.1,8.59,18.73,1
105.772,80.91,6.864,3.28,74.81,897.7,914.4,112.1,102.9,145.8,910.3,8.8,18.77,2
106.068,81.313,7.124,3.2,74.81,911,929.5,114.8,104.6,145.7,923.7,8.83,18.73,2
106.27310042967105,81.402,7.228,3.16,74.81,908.6,926.3,120.5,88.9,145.9,933.1,8.82,18.73,1
